X-ID,Chanage,Directon,UTM_X,UTM_Y,x,y,,Distance,RL_m(PWD),Remarks,Surveyor Name,XsectionNo,origin_x,origin_y,del_s,chn
1,0,L to R,,,735339.9592,2465744.245,,0,2.92,HBBR,,GBR_1,,,,
1,0,L to R,735342,2465744,735342,2465744,,2,2.92,LB,,GBR_1,,,,
1,0,L to R,,,735344.0408,2465743.755,,4,1.83,,,GBR_1,,,,
1,0,L to R,,,735346.0816,2465743.51,,6,1.74,,,GBR_1,,,,
1,0,L to R,,,735348.1224,2465743.265,,8,1.75,,,GBR_1,,,,
1,0,L to R,,,735349.1429,2465743.143,,9,1.6,,,GBR_1,,,,
1,0,L to R,,,735351.1837,2465742.898,,11,0.87,,,GBR_1,,,,
1,0,L to R,,,735352.2041,2465742.776,,12,0.8,,,GBR_1,,,,
1,0,L to R,,,735354.2449,2465742.531,,14,0.43,,,GBR_1,,,,
1,0,L to R,,,735356.2857,2465742.286,,16,0.17,,,GBR_1,,,,
1,0,L to R,,,735358.3265,2465742.041,,18,0.15,,,GBR_1,,,,
1,0,L to R,,,735360.3673,2465741.796,,20,-0.05,,,GBR_1,,,,
1,0,L to R,,,735362.4082,2465741.551,,22,-0.52,,,GBR_1,,,,
1,0,L to R,,,735364.449,2465741.306,,24,-0.63,,,GBR_1,,,,
1,0,L to R,,,735366.4898,2465741.061,,26,-0.9,,,GBR_1,,,,
1,0,L to R,,,735368.5306,2465740.816,,28,-1.2,,,GBR_1,,,,
1,0,L to R,,,735370.5714,2465740.571,,30,-1.6,CL,,GBR_1,735370.5714,2465740.571,0,0
1,0,L to R,,,735372.6122,2465740.327,,32,-1.6,,,GBR_1,,,,
1,0,L to R,,,735374.6531,2465740.082,,34,-1.2,,,GBR_1,,,,
1,0,L to R,,,735376.6939,2465739.837,,36,-1.13,,,GBR_1,,,,
1,0,L to R,,,735378.7347,2465739.592,,38,-0.55,,,GBR_1,,,,
1,0,L to R,,,735380.7755,2465739.347,,40,-0.07,,,GBR_1,,,,
1,0,L to R,,,735382.8163,2465739.102,,42,0.32,,,GBR_1,,,,
1,0,L to R,,,735384.8571,2465738.857,,44,0.51,,,GBR_1,,,,
1,0,L to R,,,735386.898,2465738.612,,46,0.61,,,GBR_1,,,,
1,0,L to R,,,735388.9388,2465738.367,,48,0.71,,,GBR_1,,,,
1,0,L to R,,,735389.9592,2465738.245,,49,0.81,,,GBR_1,,,,
1,0,L to R,735392,2465738,735392,2465738,,51,2.06,RB,,GBR_1,,,,
1,0,L to R,,,735394.0408,2465737.755,,53,2.07,House,,GBR_1,,,,
2,50,L to R,,,735349.4167,2465693,,0,2.85,HBBR,,GBR_2,,,,
2,50,L to R,735351,2465693,735351,2465693,,2,2.88,LB,,GBR_2,,,,
2,50,L to R,,,735352.5833,2465693,,4,1.19,,,GBR_2,,,,
2,50,L to R,,,735353.375,2465693,,5,1.05,,,GBR_2,,,,
2,50,L to R,,,735354.1667,2465693,,6,0.73,,,GBR_2,,,,
2,50,L to R,,,735355.75,2465693,,8,-0.36,,,GBR_2,,,,
2,50,L to R,,,735357.3333,2465693,,10,-1.03,,,GBR_2,,,,
2,50,L to R,,,735358.125,2465693,,11,-1.07,,,GBR_2,,,,
2,50,L to R,,,735358.9167,2465693,,12,-1.27,,,GBR_2,,,,
2,50,L to R,,,735359.7083,2465693,,13,-1.25,,,GBR_2,,,,
2,50,L to R,,,735360.5,2465693,,14,-1.07,,,GBR_2,,,,
2,50,L to R,,,735361.2917,2465693,,15,-1.05,,,GBR_2,,,,
2,50,L to R,,,735362.0833,2465693,,16,-1.04,CL,,GBR_2,735370.5714,2465740.571,48.32233317,48.32233317
2,50,L to R,,,735362.875,2465693,,17,-0.85,,,GBR_2,,,,
2,50,L to R,,,735363.6667,2465693,,18,-0.8,,,GBR_2,,,,
2,50,L to R,,,735364.4583,2465693,,19,-0.4,,,GBR_2,,,,
2,50,L to R,,,735365.25,2465693,,20,-0.08,,,GBR_2,,,,
2,50,L to R,,,735366.0417,2465693,,21,-0.09,,,GBR_2,,,,
2,50,L to R,,,735366.8333,2465693,,22,-0.07,,,GBR_2,,,,
2,50,L to R,,,735367.625,2465693,,23,0.09,,,GBR_2,,,,
2,50,L to R,,,735368.4167,2465693,,24,0.49,,,GBR_2,,,,
2,50,L to R,,,735369.2083,2465693,,25,1.05,,,GBR_2,,,,
2,50,L to R,735370,2465693,735370,2465693,,26,1.67,RB,,GBR_2,,,,
2,50,L to R,,,735371.5833,2465693,,28,1.69,,,GBR_2,,,,
2,50,L to R,,,735372.375,2465693,,29,1.69,,,GBR_2,,,,
2,50,L to R,,,735373.1667,2465693,,30,2.26,HS,,GBR_2,,,,
2,50,L to R,,,735377.125,2465693,,35,2.28,HS,,GBR_2,,,,
3,100,L to R,,,735369.4583,2465544.125,,0,0.44,Fishari,,GBR_3,,,,
3,100,L to R,,,735371.0417,2465544.375,,2,0.54,Fishari,,GBR_3,,,,
3,100,L to R,,,735371.8333,2465544.5,,3,0.96,Fishari,,GBR_3,,,,
3,100,L to R,,,735373.4167,2465544.75,,5,2.42,HBBR,,GBR_3,,,,
3,100,L to R,735375,2465545,735375,2465545,,7,2.43,LB,,GBR_3,,,,
3,100,L to R,,,735375.7917,2465545.125,,8,1.16,,,GBR_3,,,,
3,100,L to R,,,735377.375,2465545.375,,10,0.45,,,GBR_3,,,,
3,100,L to R,,,735378.1667,2465545.5,,11,-0.2,,,GBR_3,,,,
3,100,L to R,,,735378.9583,2465545.625,,12,-0.64,,,GBR_3,,,,
3,100,L to R,,,735379.75,2465545.75,,13,-0.94,,,GBR_3,,,,
3,100,L to R,,,735380.5417,2465545.875,,14,-1.2,,,GBR_3,,,,
3,100,L to R,,,735381.3333,2465546,,15,-1.31,,,GBR_3,,,,
3,100,L to R,,,735382.125,2465546.125,,16,-1.44,,,GBR_3,,,,
3,100,L to R,,,735382.9167,2465546.25,,17,-1.44,CL,,GBR_3,735370.5714,2465740.571,194.7127563,194.7127563
3,100,L to R,,,735383.7083,2465546.375,,18,-1.09,,,GBR_3,,,,
3,100,L to R,,,735384.5,2465546.5,,19,-0.94,,,GBR_3,,,,
3,100,L to R,,,735385.2917,2465546.625,,20,-0.87,,,GBR_3,,,,
3,100,L to R,,,735386.0833,2465546.75,,21,-0.36,,,GBR_3,,,,
3,100,L to R,,,735386.875,2465546.875,,22,0.04,,,GBR_3,,,,
3,100,L to R,,,735387.6667,2465547,,23,0.26,,,GBR_3,,,,
3,100,L to R,,,735388.4583,2465547.125,,24,0.39,,,GBR_3,,,,
3,100,L to R,,,735390.0417,2465547.375,,26,0.43,,,GBR_3,,,,
3,100,L to R,,,735391.625,2465547.625,,28,0.81,,,GBR_3,,,,
3,100,L to R,,,735392.4167,2465547.75,,29,1.16,,,GBR_3,,,,
3,100,L to R,735394,2465548,735394,2465548,,31,2.28,RB,,GBR_3,,,,
3,100,L to R,,,735394.7917,2465548.125,,32,2.29,Dyke,,GBR_3,,,,
3,100,L to R,,,735395.5833,2465548.25,,33,2.04,Land,,GBR_3,,,,
3,100,L to R,,,735397.1667,2465548.5,,35,1.85,Land,,GBR_3,,,,
3,100,L to R,,,735401.125,2465549.125,,40,1.84,Land,,GBR_3,,,,
4,200,L to R,,,735372.15,2465544.55,,0,2.23,House,,GBR_4,,,,
4,200,L to R,,,735373.1,2465544.7,,1,2.12,,,GBR_4,,,,
4,200,L to R,,,735373.195,2465544.715,,1.1,2.38,HBBR,,GBR_4,,,,
4,200,L to R,735375,2465545,735375,2465545,,3,2.38,LB,,GBR_4,,,,
4,200,L to R,,,735375.95,2465545.15,,4,1.28,,,GBR_4,,,,
4,200,L to R,,,735376.9,2465545.3,,5,1.02,,,GBR_4,,,,
4,200,L to R,,,735377.85,2465545.45,,6,0.72,,,GBR_4,,,,
4,200,L to R,,,735378.8,2465545.6,,7,0.32,,,GBR_4,,,,
4,200,L to R,,,735379.75,2465545.75,,8,0.08,,,GBR_4,,,,
4,200,L to R,,,735380.7,2465545.9,,9,-0.39,,,GBR_4,,,,
4,200,L to R,,,735381.65,2465546.05,,10,-0.82,,,GBR_4,,,,
4,200,L to R,,,735382.6,2465546.2,,11,-0.04,,,GBR_4,,,,
4,200,L to R,,,735383.55,2465546.35,,12,-1.3,,,GBR_4,,,,
4,200,L to R,,,735384.5,2465546.5,,13,-1.29,CL,,GBR_4,735370.5714,2465740.571,194.5701903,194.5701903
4,200,L to R,,,735385.45,2465546.65,,14,-1.28,,,GBR_4,,,,
4,200,L to R,,,735386.4,2465546.8,,15,-1.28,,,GBR_4,,,,
4,200,L to R,,,735387.35,2465546.95,,16,-1.26,,,GBR_4,,,,
4,200,L to R,,,735388.3,2465547.1,,17,-1.04,,,GBR_4,,,,
4,200,L to R,,,735389.25,2465547.25,,18,-0.63,,,GBR_4,,,,
4,200,L to R,,,735391.15,2465547.55,,20,0.66,,,GBR_4,,,,
4,200,L to R,,,735392.1,2465547.7,,21,1.28,,,GBR_4,,,,
4,200,L to R,735394,2465548,735394,2465548,,23,2.2,RB,,GBR_4,,,,
4,200,L to R,,,735395.9,2465548.3,,25,2.23,House,,GBR_4,,,,
5,300,L to R,,,735382.2727,2465447.152,,0,2.53,House,,GBR_5,,,,
5,300,L to R,,,735384.6364,2465447.576,,2,2.53,HBBR,,GBR_5,,,,
5,300,L to R,735387,2465448,735387,2465448,,4,2.49,LB,,GBR_5,,,,
5,300,L to R,,,735388.1818,2465448.212,,5,1.71.,,,GBR_5,,,,
5,300,L to R,,,735389.3636,2465448.424,,6,1.35,,,GBR_5,,,,
5,300,L to R,,,735390.5455,2465448.636,,7,0.88,,,GBR_5,,,,
5,300,L to R,,,735391.7273,2465448.848,,8,0.68,,,GBR_5,,,,
5,300,L to R,,,735392.9091,2465449.061,,9,0.49,,,GBR_5,,,,
5,300,L to R,,,735394.0909,2465449.273,,10,0.35,,,GBR_5,,,,
