x,y,rl,crosectional_distance,Khal_Name
734584.3103,2459391,2.28,0,10NoSora
734667.2581,2459388.774,2.26,3,10NoSora
734666.6774,2459388.032,2.08,4,10NoSora
734666.0968,2459387.29,1.42,5,10NoSora
734665.5161,2459386.548,0.73,6,10NoSora
734664.9355,2459385.806,0.03,7,10NoSora
734664.3548,2459385.065,-0.05,8,10NoSora
734663.7742,2459384.323,-0.23,9,10NoSora
734663.1935,2459383.581,-0.24,10,10NoSora
734662.6129,2459382.839,-0.39,11,10NoSora
734662.0323,2459382.097,-0.43,12,10NoSora
734661.4516,2459381.355,-0.49,13,10NoSora
734660.871,2459380.613,-0.26,14,10NoSora
734660.2903,2459379.871,-0.24,15,10NoSora
734659.7097,2459379.129,-0.22,16,10NoSora
734659.129,2459378.387,-0.22,17,10NoSora
734658.5484,2459377.645,-0.23,18,10NoSora
734657.9677,2459376.903,-0.23,19,10NoSora
734657.3871,2459376.161,-0.2,20,10NoSora
734656.8065,2459375.419,-0.17,21,10NoSora
734656.2258,2459374.677,-0.17,22,10NoSora
734655.6452,2459373.935,-0.13,23,10NoSora
734655.0645,2459373.194,-0.04,24,10NoSora
734654.4839,2459372.452,-0.07,25,10NoSora
734653.9032,2459371.71,-0.13,26,10NoSora
734653.3226,2459370.968,-0.13,27,10NoSora
734652.7419,2459370.226,-0.02,28,10NoSora
734652.1613,2459369.484,0.25,29,10NoSora
734651.5806,2459368.742,0.73,30,10NoSora
734651,2459368,1.61,31,10NoSora
734649.8387,2459366.516,1.6,33,10NoSora
734648.0968,2459364.29,1.07,36,10NoSora
734644.6129,2459359.839,1.06,42,10NoSora
734561.1379,2459406.483,1.77,42,10NoSora
734583.2069,2459443.724,1.76,2,10NoSora
734582.1034,2459441.862,2.52,4,10NoSora
734581,2459440,2.52,6,10NoSora
734580.4483,2459439.069,2.45,7,10NoSora
734579.3448,2459437.207,0.73,9,10NoSora
734578.2414,2459435.345,0.24,11,10NoSora
734577.6897,2459434.414,-0.27,12,10NoSora
734577.1379,2459433.483,-0.76,13,10NoSora
734576.5862,2459432.552,-0.68,14,10NoSora
734576.0345,2459431.621,-0.47,15,10NoSora
734575.4828,2459430.69,-0.45,16,10NoSora
734574.931,2459429.759,-0.46,17,10NoSora
734574.3793,2459428.828,-0.46,18,10NoSora
734573.8276,2459427.897,-0.46,19,10NoSora
734573.2759,2459426.966,-0.46,20,10NoSora
734572.7241,2459426.034,-0.46,21,10NoSora
734572.1724,2459425.103,-0.56,22,10NoSora
734571.6207,2459424.172,-0.43,23,10NoSora
734571.069,2459423.241,-0.43,24,10NoSora
734570.5172,2459422.31,-0.45,25,10NoSora
734569.9655,2459421.379,-0.42,26,10NoSora
734569.4138,2459420.448,-0.37,27,10NoSora
734568.8621,2459419.517,-0.3,28,10NoSora
734568.3103,2459418.586,-0.18,29,10NoSora
734567.7586,2459417.655,-0.11,30,10NoSora
734567.2069,2459416.724,0.05,31,10NoSora
734566.6552,2459415.793,0.28,32,10NoSora
734566.1034,2459414.862,0.42,33,10NoSora
734565.5517,2459413.931,0.73,34,10NoSora
734565,2459413,2.13,35,10NoSora
734563.8966,2459411.138,2.11,37,10NoSora
734563.3448,2459410.207,1.97,38,10NoSora
734562.2414,2459408.345,1.96,40,10NoSora
734561.1379,2459406.483,1.15,42,10NoSora
734483,2459478,2.32,0,10NoSora
734481.5,2459475,2.32,3,10NoSora
734481,2459474,2.05,4,10NoSora
734480.25,2459472.5,0.73,5.5,10NoSora
734480,2459472,0.17,6,10NoSora
734479.5,2459471,-0.46,7,10NoSora
734479,2459470,-0.47,8,10NoSora
734478.5,2459469,-0.54,9,10NoSora
734478,2459468,-0.59,10,10NoSora
734477.5,2459467,-0.48,11,10NoSora
734477,2459466,-0.41,12,10NoSora
734476.5,2459465,-0.41,13,10NoSora
734476,2459464,-0.46,14,10NoSora
734475.5,2459463,-0.55,15,10NoSora
734475,2459462,-0.37,16,10NoSora
734474.5,2459461,-0.37,17,10NoSora
734474,2459460,-0.35,18,10NoSora
734473.5,2459459,-0.3,19,10NoSora
734473,2459458,-0.27,20,10NoSora
734472.5,2459457,-0.43,21,10NoSora
734472,2459456,-0.36,22,10NoSora
734471.5,2459455,-0.36,23,10NoSora
734471,2459454,-0.12,24,10NoSora
734470.5,2459453,0.73,25,10NoSora
734470,2459452,1.91,26,10NoSora
734468.5,2459449,1.92,29,10NoSora
734395.6667,2459523.222,0.42,0,10NoSora
734393,2459514.333,0.43,8,10NoSora
734392.6667,2459513.222,1.24,9,10NoSora
734392,2459511,1.23,11,10NoSora
734391.8333,2459510.444,0.73,11.5,10NoSora
734391.6667,2459509.889,0.25,12,10NoSora
734391.3333,2459508.778,0.01,13,10NoSora
734391,2459507.667,-0.3,14,10NoSora
734390.6667,2459506.556,-0.46,15,10NoSora
734390.3333,2459505.444,-0.77,16,10NoSora
734390,2459504.333,-0.87,17,10NoSora
734389.6667,2459503.222,-0.78,18,10NoSora
734389.3333,2459502.111,-0.59,19,10NoSora
734389,2459501,-0.43,20,10NoSora
734388.6667,2459499.889,-0.44,21,10NoSora
734388.3333,2459498.778,-0.44,22,10NoSora
734388,2459497.667,-0.44,23,10NoSora
734387.6667,2459496.556,-0.47,24,10NoSora
734387.3333,2459495.444,-0.38,25,10NoSora
734387,2459494.333,-0.41,26,10NoSora
734386.6667,2459493.222,-0.38,27,10NoSora
734386.3333,2459492.111,-0.37,28,10NoSora
734386,2459491,-0.39,29,10NoSora
734385.6667,2459489.889,-0.54,30,10NoSora
734385.3333,2459488.778,-0.66,31,10NoSora
734385,2459487.667,-0.73,32,10NoSora
734384.6667,2459486.556,-0.8,33,10NoSora
734384.3333,2459485.444,-0.64,34,10NoSora
734384,2459484.333,-0.48,35,10NoSora
734383.6667,2459483.222,-0.07,36,10NoSora
734383.3333,2459482.111,0.73,37,10NoSora
