x,y,rl,crosectional_distance,khal_name
733421.4762,2459188.381,0.97,0,
733419.8571,2459188.286,0.95,2,
733418.2381,2459188.19,0.91,4,
733416.619,2459188.095,0.72,6,
733415,2459188,0.41,8,
733414.1905,2459187.952,0.16,9,
733413.381,2459187.905,-0.13,10,
733412.5714,2459187.857,-0.5,11,
733411.7619,2459187.81,-0.88,12,
733410.9524,2459187.762,-1.43,13,
733410.1429,2459187.714,-1.73,14,
733409.3333,2459187.667,-2.1,15,
733408.5238,2459187.619,-2.22,16,
733407.7143,2459187.571,-2.42,17,
733406.9048,2459187.524,-2.45,18,
733406.0952,2459187.476,-2.46,19,
733405.2857,2459187.429,-2.04,20,
733404.4762,2459187.381,-1.99,21,
733403.6667,2459187.333,-1.48,22,
733402.8571,2459187.286,-1.23,23,
733402.0476,2459187.238,-0.91,24,
733401.2381,2459187.19,-0.49,25,
733400.4286,2459187.143,-0.46,26,
733399.619,2459187.095,0.27,27,
733398.8095,2459187.048,1.17,28,
733398,2459187,2.47,29,
733395.5714,2459186.857,2.38,32,
733390.7143,2459186.571,2.41,38,
733385.0476,2459186.238,2.51,45,
733415.3684,2459280,0.5,0,
733410.6316,2459280,0.53,5,
733405.8947,2459280,0.56,10,
733404.9474,2459280,1.75,11,
733404,2459280,1.75,12,
733403.0526,2459280,1.17,13,
733402.1053,2459280,0.89,14,
733401.1579,2459280,0.83,15,
733400.2105,2459280,0.83,16,
733399.2632,2459280,0.83,17,
733398.3158,2459280,0.82,18,
733397.3684,2459280,0.84,19,
733396.4211,2459280,0.62,20,
733395.4737,2459280,-0.04,21,
733394.5263,2459280,-0.54,22,
733393.5789,2459280,-1.39,23,
733392.6316,2459280,-1.76,24,
733391.6842,2459280,-1.79,25,
733390.7368,2459280,-1.78,26,
733389.7895,2459280,-1.63,27,
733388.8421,2459280,-1.13,28,
733387.8947,2459280,0.6,29,
733386.9474,2459280,1.17,30,
733386,2459280,1.8,31,
733385.0526,2459280,1.83,32,
733383.1579,2459280,1.14,34,
733377.4737,2459280,1.08,40,
733372.7368,2459280,1.05,45,
733374.1667,2459384.667,-2.38,0,
733375.125,2459384.5,-1.82,1,
733376.0833,2459384.333,-1.75,2,
733377.0417,2459384.167,-1.6,3,
733378,2459384,-1.5,4,
733378.9583,2459383.833,-1.38,5,
733379.9167,2459383.667,-1.33,6,
733380.875,2459383.5,-1.26,7,
733381.8333,2459383.333,-1.2,8,
733382.7917,2459383.167,-1.16,9,
733383.75,2459383,-1.01,10,
733384.7083,2459382.833,-1.04,11,
733385.6667,2459382.667,-0.89,12,
733386.625,2459382.5,-0.86,13,
733387.5833,2459382.333,-0.9,14,
733388.5417,2459382.167,-0.85,15,
733389.5,2459382,-0.77,16,
733390.4583,2459381.833,-0.74,17,
733391.4167,2459381.667,-0.73,18,
733392.375,2459381.5,-0.82,19,
733393.3333,2459381.333,-1.13,20,
733394.2917,2459381.167,-1.21,21,
733395.25,2459381,-0.95,22,
733396.2083,2459380.833,-0.77,23,
