G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:04:17 PM,This PC,EPSON L1800 Series,A3 297 x 420 mm,1:0.217318,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:05:10 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.278986,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:05:28 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.37284,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:05:38 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.248499,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:05:49 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.281487,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:06:03 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.239264,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:06:12 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.205151,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 1:06:32 PM,This PC,Hewlett-Packard HP LaserJet 700 M712.pc3,A3,1:0.234219,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:02:21 PM,This Pc,Microsoft Print to PDF,A3,1:0.276488,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:02:58 PM,This Pc,Microsoft Print to PDF,A3,1:0.216721,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:03:13 PM,This Pc,Microsoft Print to PDF,A3,1:0.369501,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:03:27 PM,This Pc,Microsoft Print to PDF,A3,1:0.246274,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:03:40 PM,This Pc,Microsoft Print to PDF,A3,1:0.278966,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:03:56 PM,This Pc,Microsoft Print to PDF,A3,1:0.237121,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:04:09 PM,This Pc,Microsoft Print to PDF,A3,1:0.255334,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:04:22 PM,This Pc,Microsoft Print to PDF,A3,1:0.38109,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:04:34 PM,This Pc,Microsoft Print to PDF,A3,1:0.291178,
G:\Protection work nou police bagehat\Protection Work Nou police Bagerhat.dwg,Model,9/14/2023 3:04:54 PM,This Pc,Microsoft Print to PDF,A3,1:0.405674,
